dates,openp,closep,lowp,highp
01/01/1990,0.789,0.789,0.789,0.789
02/01/1990,0.7903,0.7865,0.7844,0.7903
03/01/1990,0.7862,0.7837,0.7827,0.7862
04/01/1990,0.7905,0.7894,0.7825,0.7905
05/01/1990,0.7884,0.785,0.7838,0.7884
08/01/1990,0.7875,0.7858,0.7832,0.7875
09/01/1990,0.7888,0.7874,0.786,0.7888
10/01/1990,0.7897,0.7897,0.7875,0.7897
11/01/1990,0.7943,0.7929,0.791,0.7943
12/01/1990,0.795,0.7932,0.793,0.795
15/01/1990,0.795,0.7937,0.7899,0.795
16/01/1990,0.7937,0.7925,0.789,0.7937
17/01/1990,0.7952,0.795,0.7902,0.7952
18/01/1990,0.7971,0.7962,0.7939,0.7971
19/01/1990,0.7959,0.7946,0.7922,0.7959
22/01/1990,0.7976,0.796,0.791,0.7976
23/01/1990,0.797,0.7767,0.7742,0.797
24/01/1990,0.7705,0.7658,0.7595,0.7705
25/01/1990,0.7685,0.7613,0.758,0.7685
26/01/1990,0.7712,0.7712,0.7603,0.7712
29/01/1990,0.7678,0.764,0.7615,0.7678
30/01/1990,0.7681,0.768,0.7645,0.7681
31/01/1990,0.7736,0.7736,0.767,0.7736
01/02/1990,0.7734,0.7731,0.7665,0.7734
02/02/1990,0.7763,0.776,0.77,0.7763
05/02/1990,0.7693,0.7687,0.7642,0.7693
06/02/1990,0.7695,0.767,0.7652,0.7695
07/02/1990,0.7621,0.7592,0.754,0.7621
08/02/1990,0.7563,0.756,0.752,0.7563
09/02/1990,0.7553,0.7519,0.7485,0.7553
12/02/1990,0.7558,0.7532,0.7501,0.7558
13/02/1990,0.7577,0.7506,0.75,0.7577
14/02/1990,0.754,0.746,0.7443,0.754
15/02/1990,0.753,0.7526,0.749,0.753
16/02/1990,0.759,0.7577,0.7557,0.759
19/02/1990,0.7628,0.7615,0.7605,0.7628
20/02/1990,0.765,0.7592,0.7585,0.765
21/02/1990,0.7685,0.7685,0.754,0.7685
22/02/1990,0.768,0.764,0.7595,0.768
23/02/1990,0.7688,0.768,0.7621,0.7688
26/02/1990,0.7689,0.7684,0.763,0.7689
27/02/1990,0.7675,0.7575,0.7575,0.7675
28/02/1990,0.7632,0.7606,0.7585,0.7632
01/03/1990,0.7663,0.7655,0.7607,0.7663
02/03/1990,0.7643,0.7621,0.76,0.7643
05/03/1990,0.761,0.7607,0.7569,0.761
06/03/1990,0.7636,0.7631,0.761,0.7636
07/03/1990,0.7626,0.7623,0.759,0.7626
08/03/1990,0.7631,0.763,0.759,0.7631
09/03/1990,0.7625,0.761,0.7595,0.7625
12/03/1990,0.761,0.7597,0.7575,0.761
13/03/1990,0.7645,0.7645,0.7591,0.7645
14/03/1990,0.7645,0.7642,0.7623,0.7645
15/03/1990,0.7645,0.7585,0.7555,0.7645
16/03/1990,0.7553,0.7545,0.7535,0.7553
19/03/1990,0.7585,0.7565,0.754,0.7585
20/03/1990,0.7592,0.7583,0.7572,0.7592
21/03/1990,0.7575,0.754,0.752,0.7575
22/03/1990,0.7539,0.7539,0.7487,0.7539
23/03/1990,0.7555,0.749,0.747,0.7555
26/03/1990,0.7497,0.7473,0.7457,0.7497
27/03/1990,0.75,0.7477,0.7465,0.75
28/03/1990,0.7497,0.7483,0.7468,0.7497
29/03/1990,0.7545,0.754,0.7485,0.7545
30/03/1990,0.7567,0.7555,0.7535,0.7567
02/04/1990,0.7619,0.7611,0.7555,0.7619
03/04/1990,0.7636,0.7625,0.7608,0.7636
04/04/1990,0.7695,0.768,0.7656,0.7695
05/04/1990,0.7673,0.7667,0.7641,0.7673
06/04/1990,0.7688,0.7656,0.7656,0.7688
09/04/1990,0.767,0.7634,0.7634,0.767
10/04/1990,0.7676,0.7665,0.764,0.7676
11/04/1990,0.7675,0.7665,0.764,0.7675
12/04/1990,0.7692,0.7687,0.7662,0.7692
13/04/1990,0.766,0.7657,0.7653,0.766
16/04/1990,0.7657,0.765,0.765,0.7657
17/04/1990,0.7677,0.7673,0.765,0.7677
18/04/1990,0.771,0.7705,0.766,0.771
19/04/1990,0.7755,0.7735,0.7697,0.7755
20/04/1990,0.7737,0.7725,0.7702,0.7737
23/04/1990,0.7701,0.7653,0.765,0.7701
24/04/1990,0.7689,0.7684,0.7652,0.7689
25/04/1990,0.7701,0.7681,0.7661,0.7701
26/04/1990,0.768,0.7553,0.7553,0.768
27/04/1990,0.7576,0.753,0.749,0.7576
30/04/1990,0.7533,0.7533,0.7499,0.7533
01/05/1990,0.751,0.7465,0.7457,0.751
02/05/1990,0.7545,0.7542,0.7457,0.7545
03/05/1990,0.7574,0.7572,0.753,0.7574
04/05/1990,0.7576,0.7573,0.7513,0.7576
07/05/1990,0.759,0.7571,0.756,0.759
08/05/1990,0.7595,0.7592,0.7559,0.7595
09/05/1990,0.7611,0.7576,0.7576,0.7611
10/05/1990,0.763,0.761,0.7563,0.763
11/05/1990,0.7643,0.7618,0.758,0.7643
14/05/1990,0.7708,0.7685,0.7596,0.7708
15/05/1990,0.7672,0.766,0.7625,0.7672
