dates,CFT01,ub_y0_p0,lb_y0,mv_p0,bw_p1
2015/3/20,97.09,,,,
2015/3/23,97.02,,,,
2015/3/24,96.92,,,,
2015/3/25,96.85,,,,
2015/3/26,96.37,,,,
2015/3/27,96.49,,,,
2015/3/30,96.16,,,,
2015/3/31,95.65,,,,
2015/4/1,96.095,,,,
2015/4/2,96.32,,,,
2015/4/3,96.01,,,,
2015/4/7,95.93,,,,
2015/4/8,95.16,,,,
2015/4/9,95.265,,,,
2015/4/10,95.19,,,,
2015/4/13,95.63,,,,
2015/4/14,95.57,,,,
2015/4/15,96.15,,,,
2015/4/16,96.18,,,,
2015/4/17,96.3,97.26042826,94.97457174,96.1175,0.023781897
2015/4/20,97.25,97.29741681,94.95358319,96.1255,0.024383058
2015/4/21,97.39,97.38165342,94.90634658,96.144,0.025745828
2015/4/22,97.42,97.48599886,94.85200114,96.169,0.02738926
2015/4/23,97.34,97.57682245,94.81017755,96.1935,0.028761246
2015/4/24,97.03,97.65581487,94.79718513,96.2265,0.029707302
2015/4/27,97.76,97.86583311,94.71416689,96.29,0.032730982
2015/4/28,97.74,98.06470221,94.67329779,96.369,0.035191861
2015/4/29,97.69,98.22582364,94.71617636,96.471,0.036380335
2015/4/30,97.955,98.42329718,94.70470282,96.564,0.038509117
2015/5/4,97.6,98.53675719,94.71924281,96.628,0.039507331
2015/5/5,97.505,98.6258841,94.7796159,96.70275,0.039774135
2015/5/6,97.155,98.66266163,94.86533837,96.764,0.039243141
2015/5/7,97.2,98.62291662,95.10908338,96.866,0.036275197
2015/5/8,97.45,98.58602148,95.36447852,96.97525,0.033220259
2015/5/11,97.32,98.47299504,95.69050496,97.08175,0.028661309
2015/5/12,96.99,98.37336544,95.92613456,97.14975,0.025190295
2015/5/13,97.225,98.21832706,96.24667294,97.2325,0.020277727
2015/5/14,97.1,98.1355583,96.4244417,97.28,0.017589603
2015/5/15,97.185,98.02428512,96.63621488,97.33025,0.014261447
2015/5/18,96.705,97.93867429,96.76232571,97.3505,0.012083642
2015/5/19,96.56,97.99728261,96.63471739,97.316,0.014001451
2015/5/20,96.88,97.99652337,96.58447663,97.2905,0.014513717
2015/5/21,96.675,98.00513613,96.50136387,97.25325,0.015462437
2015/5/22,96.74,98.00613744,96.44036256,97.22325,0.016104943
2015/5/25,96.52,98.03545803,96.36004197,97.19775,0.01723719
2015/5/26,95.66,98.12588346,96.05961654,97.09275,0.021281372
2015/5/27,95.8,98.12720161,95.86429839,96.99575,0.023329921
2015/5/28,95,98.24256414,95.47993586,96.86125,0.028521501
2015/5/29,94.92,98.23604807,95.18295193,96.7095,0.031569764
2015/6/1,94.215,98.35730111,94.72319889,96.54025,0.037643389
2015/6/2,94.99,98.29410874,94.53489126,96.4145,0.038990167
2015/6/3,95.06,98.24528733,94.37421267,96.30975,0.040194006
2015/6/4,94.91,98.17697015,94.21352985,96.19525,0.041202038
2015/6/5,95.3,98.01813979,94.15736021,96.08775,0.040179727
2015/6/8,95.56,97.85647958,94.14302042,95.99975,0.038681967
2015/6/9,95.475,97.73602815,94.11197185,95.924,0.037780496
2015/6/10,94.98,97.56467691,94.05882309,95.81175,0.036591063
2015/6/11,94.83,97.39591685,94.00058315,95.69825,0.03547958
2015/6/12,94.62,97.18453399,93.95546601,95.57,0.033787464
2015/6/15,94.205,97.0757115,93.8142885,95.445,0.034170706
2015/6/16,95.13,96.92590813,93.82109187,95.3735,0.032554287
2015/6/17,94.96,96.67513908,93.87986092,95.2775,0.029338282
2015/6/18,95.25,96.44828009,93.96421991,95.20625,0.026091356
2015/6/19,95.02,96.14470827,94.09579173,95.12025,0.021540277
2015/6/23,94.91,95.84010914,94.23939086,95.03975,0.016842619
2015/6/24,94.885,95.750944,94.251056,95.001,0.015788129
2015/6/25,94.8,95.60888753,94.29311247,94.951,0.013857411
2015/6/26,94.715,95.60207905,94.27142095,94.93675,0.014016259
2015/6/29,94.535,95.60554433,94.22945567,94.9175,0.014497734
2015/6/30,94.755,95.55855944,94.33044056,94.9445,0.012935124
2015/7/1,94.645,95.55446986,94.30003014,94.92725,0.013214748
2015/7/2,94.61,95.54348684,94.26601316,94.90475,0.013460587
2015/7/3,95.22,95.57362183,94.26687817,94.92025,0.013766753
2015/7/6,95.92,95.7220345,94.1804655,94.95125,0.016235373
2015/7/7,96.28,95.91887479,94.05562521,94.98725,0.019615786
2015/7/8,95.8,95.97889787,94.02810213,95.0035,0.020533935
2015/7/9,96.15,96.15767057,93.96632943,95.062,0.023051705
2015/7/10,95.95,96.27337613,93.96262387,95.118,0.024293533
2015/7/13,95.72,96.3330319,94.0129681,95.173,0.024377332
2015/7/14,95.575,96.32400681,94.15899319,95.2415,0.02273183
2015/7/15,95.445,96.34197335,94.17252665,95.25725,0.02277461
2015/7/16,95.75,96.39277589,94.20072411,95.29675,0.023002377
2015/7/17,95.8,96.4415963,94.2069037,95.32425,0.023443065
2015/7/20,95.75,96.4836359,94.2378641,95.36075,0.023550274
2015/7/21,95.54,96.49800528,94.28649472,95.39225,0.023183336
2015/7/22,95.63,96.51439124,94.34460876,95.4295,0.02273702
2015/7/23,95.91,96.54876219,94.42123781,95.485,0.022281242
2015/7/24,95.86,96.55616555,94.52833445,95.54225,0.021224444
2015/7/27,96.04,96.54054659,94.69445341,95.6175,0.019307064
2015/7/28,96.03,96.53037234,94.83212766,95.68125,0.017748981
2015/7/29,96.11,96.47668349,95.03231651,95.7545,0.015084064
2015/7/30,95.98,96.32397305,95.32202695,95.823,0.010456217
2015/7/31,95.545,96.27817226,95.40032774,95.83925,0.009159551
2015/8/3,95.555,96.27506607,95.36693393,95.821,0.009477381
2015/8/4,95.71,96.19654826,95.38845174,95.7925,0.008435906
2015/8/5,95.605,96.19493291,95.37056709,95.78275,0.008606621
2015/8/6,95.875,96.14829672,95.38970328,95.769,0.007921075
2015/8/7,95.915,96.14350091,95.39099909,95.76725,0.007857611
2015/8/10,95.675,96.14288887,95.38711113,95.765,0.007892004
2015/8/11,95.19,96.19321257,95.29828743,95.74575,0.009346891
2015/8/12,95.33,96.20537082,95.27462918,95.74,0.009721555
2015/8/13,95.325,96.21793809,95.21956191,95.71875,0.010430309
2015/8/14,95.64,96.20960143,95.21189857,95.71075,0.010424146
2015/8/17,95.32,96.21577896,95.16272104,95.68925,0.011004976
2015/8/18,95.485,96.21668016,95.15631984,95.6865,0.011081608
2015/8/19,95.37,96.22105,95.12595,95.6735,0.011446221
2015/8/20,95.45,96.19501722,95.10598278,95.6505,0.011385559
2015/8/21,95.52,96.17198955,95.09501045,95.6335,0.011261526
2015/8/24,95.785,96.13149725,95.11000275,95.62075,0.01068277
2015/8/25,95.8,96.09222283,95.12627717,95.60925,0.010103056
2015/8/26,96.005,96.06695356,95.14104644,95.604,0.009684816
2015/8/27,96.4,96.18268271,95.06731729,95.625,0.011663952
2015/8/28,96.255,96.28023301,95.04076699,95.6605,0.012956926
2015/8/31,96.76,96.50120035,94.94029965,95.72075,0.016306816
2015/9/1,96.915,96.71897974,94.84302026,95.781,0.019585925
2015/9/2,96.62,96.83379429,94.82970571,95.83175,0.020912574
2015/9/7,96.42,96.89338677,94.82461323,95.859,0.021581422
2015/9/8,96.375,96.94051972,94.82348028,95.882,0.022079634
2015/9/9,96.195,96.97044247,94.84555753,95.908,0.02215545
2015/9/10,96.395,96.99712937,94.93937063,95.96825,0.021442078
2015/9/11,96.255,97.0069762,95.0220238,96.0145,0.020673465
2015/9/14,96.41,97.02239498,95.11510502,96.06875,0.019853386
2015/9/15,96.655,97.08443989,95.15456011,96.1195,0.020077922
2015/9/16,96.535,97.08746263,95.27303737,96.18025,0.018864842
2015/9/17,96.365,97.07597927,95.37252073,96.22425,0.017703007
2015/9/18,96.395,97.03366819,95.51733181,96.2755,0.015749971
2015/9/21,96.415,96.98185998,95.66564002,96.32375,0.013664542
2015/9/22,96.26,96.90778085,95.81371915,96.36075,0.011353811
2015/9/23,96.305,96.86723179,95.90626821,96.38675,0.009969872
2015/9/24,96.515,96.82273118,96.02226882,96.4225,0.008301614
2015/9/25,96.665,96.81981991,96.09118009,96.4555,0.007554155
2015/9/28,96.935,96.9008605,96.0636395,96.48225,0.008677461
2015/9/29,97.23,97.04793907,96.01406093,96.531,0.010710322
2015/9/30,97.315,97.17241827,95.94508173,96.55875,0.012710775
2015/10/8,97.27,97.24815542,95.90484458,96.5765,0.013909293
2015/10/9,98.13,97.60626097,95.69773903,96.652,0.019746326
2015/10/12,98.185,97.89727841,95.58322159,96.74025,0.023920311
2015/10/13,98.72,98.28610946,95.42889054,96.8575,0.029499202
2015/10/14,98.715,98.58964476,95.37735524,96.9835,0.033122021
2015/10/15,98.53,98.80582126,95.37467874,97.09025,0.035339723
2015/10/16,98.07,98.90224838,95.45975162,97.181,0.035423558
2015/10/19,98.22,99.0113135,95.5316865,97.2715,0.035772318
2015/10/20,99.165,99.29568481,95.49831519,97.397,0.038988569
2015/10/21,98.885,99.47511189,95.55388811,97.5145,0.0402117
2015/10/22,99.29,99.69167411,95.62982589,97.66075,0.041591409
2015/10/23,98.955,99.80709307,95.77040693,97.78875,0.041279658
2015/10/26,99.245,99.94030342,95.92019658,97.93025,0.041050716
2015/10/27,99.765,100.113678,96.09732197,98.1055,0.040939153
2015/10/28,99.39,100.1621786,96.35732135,98.25975,0.03872244
2015/10/29,98.685,100.1001515,96.63634852,98.36825,0.035212611
2015/10/30,98.83,100.0305402,96.92245978,98.4765,0.031561646
2015/11/2,98.805,99.95795173,97.18204827,98.57,0.028161748
2015/11/3,98.6,99.88296816,97.39403184,98.6385,0.025232909
2015/11/4,98.355,99.78760027,97.59339973,98.6905,0.022233148
2015/11/5,98.665,99.64384196,97.87665804,98.76025,0.017893676
2015/11/6,98.255,99.63378946,97.89921054,98.7665,0.017562422
2015/11/9,97.29,99.7765309,97.6669691,98.72175,0.021368764
2015/11/10,97.66,99.82061316,97.51688684,98.66875,0.023348085
2015/11/11,98.175,99.81316058,97.47033942,98.64175,0.023750807
2015/11/12,98.085,99.81520858,97.42379142,98.6195,0.024248928
2015/11/13,97.94,99.8219268,97.4040732,98.613,0.024518609
2015/11/16,98.34,99.82123791,97.41676209,98.619,0.024381466
2015/11/17,98.52,99.76299519,97.41050481,98.58675,0.023862135
2015/11/18,97.975,99.73804938,97.34445062,98.54125,0.024290323
2015/11/19,98.21,99.64071641,97.33378359,98.48725,0.02342367
2015/11/20,98.63,99.60666985,97.33533015,98.471,0.023066077
2015/11/23,98.5,99.5128926,97.3546074,98.43375,0.021926272
2015/11/24,98.51,99.26291704,97.47908296,98.371,0.018133739
2015/11/25,98.59,99.09978866,97.56221134,98.331,0.015636751
2015/11/26,98.94,99.14343666,97.54406334,98.34375,0.016263091
2015/11/27,98.695,99.12230504,97.55169496,98.337,0.01597171
2015/11/30,99.015,99.16260429,97.53239571,98.3475,0.016576004
2015/12/1,98.75,99.1819341,97.5280659,98.355,0.016815294
2015/12/2,98.83,99.23121041,97.52628959,98.37875,0.017330174
2015/12/3,98.965,99.27587173,97.51162827,98.39375,0.017930442
2015/12/4,98.86,99.32627823,97.52172177,98.424,0.018334517
2015/12/7,98.95,99.27165286,97.74234714,98.507,0.015524843
2015/12/8,99.195,99.29951445,97.86798555,98.58375,0.014520942
2015/12/9,99.17,99.36680826,97.90019174,98.6335,0.014869355
2015/12/10,99.105,99.39978246,97.96921754,98.6845,0.014496349
2015/12/11,99.37,99.44469877,98.06730123,98.756,0.013947482
2015/12/14,98.87,99.44543665,98.11956335,98.7825,0.013422148
2015/12/15,99.085,99.47468731,98.14681269,98.81075,0.013438564
2015/12/16,99.16,99.42809497,98.31190503,98.87,0.01128947
2015/12/17,99.15,99.39782637,98.43617363,98.917,0.009721815
2015/12/18,99.56,99.50086487,98.42613513,98.9635,0.01085986
2015/12/21,99.805,99.63734572,98.42015428,99.02875,0.012291294
2015/12/22,99.905,99.76982034,98.42717966,99.0985,0.013548547
2015/12/23,99.98,99.89946702,98.43653298,99.168,0.014752078
2015/12/24,100.28,100.1033317,98.36666827,99.235,0.017500514
2015/12/25,100.26,100.2520326,98.37446741,99.31325,0.018905485
2015/12/28,100.48,100.442114,98.33088596,99.3865,0.021242604
2015/12/29,100.23,100.5345992,98.38640084,99.4605,0.021598507
2015/12/30,100.15,100.5997386,98.45326144,99.5265,0.02156689
