dates,openp,closep,highp,lowp,ub_y0_p0,lb_y0,mv_p0,bw_p1,pctb_y0_p2
2015/3/20,96.9,97.09,97.96,96.525,,,,,
2015/3/23,97.095,97.02,97.095,96.84,,,,,
2015/3/25,97.02,96.85,97.03,96.76,,,,,
2015/3/26,96.835,96.37,96.89,96.37,,,,,
2015/3/27,96.3,96.49,96.51,95.98,,,,,
2015/3/30,96.065,96.16,96.4,96,,,,,
2015/3/31,95.8,95.65,95.9,95.565,,,,,
2015/4/1,95.66,96.095,96.095,95.655,,,,,
2015/4/2,96.3,96.32,96.425,96.2,,,,,
2015/4/3,96.315,96.01,96.375,96.005,,,,,
2015/4/7,96.005,95.93,96.31,95.8,,,,,
2015/4/8,96,95.16,96.1,95.13,,,,,
2015/4/9,95.3,95.265,95.4,95.195,,,,,
2015/4/10,95.35,95.19,95.415,95.17,,,,,
2015/4/13,95.18,95.63,95.68,95.18,,,,,
2015/4/14,95.7,95.57,96,95.53,,,,,
2015/4/15,95.9,96.15,96.285,95.775,,,,,
2015/4/16,96.735,96.18,96.735,95.86,,,,,
2015/4/17,96.19,96.3,96.5,96.05,97.26042826,94.97457174,96.1175,0.023781897,0.579838782
2015/4/20,97.1,97.25,97.275,96.67,97.29741681,94.95358319,96.1255,0.024383058,0.979769551
2015/4/21,97.295,97.39,97.95,97.26,97.38165342,94.90634658,96.144,0.025745828,1.003371936
2015/4/22,97.4,97.42,97.615,97.31,97.48599886,94.85200114,96.169,0.02738926,0.974943463
2015/4/23,97.365,97.34,97.455,96.945,97.57682245,94.81017755,96.1935,0.028761246,0.914400851
2015/4/24,97.22,97.03,97.255,96.82,97.65581487,94.79718513,96.2265,0.029707302,0.781078724
2015/4/27,97.08,97.76,97.85,97.08,97.86583311,94.71416689,96.29,0.032730982,0.966419949
2015/4/28,97.6,97.74,97.84,97.58,98.06470221,94.67329779,96.369,0.035191861,0.904257301
2015/4/29,97.67,97.69,97.775,97.52,98.22582364,94.71617636,96.471,0.036380335,0.847328351
2015/4/30,97.695,97.955,98.1,97.695,98.42329718,94.70470282,96.564,0.038509117,0.874066076
2015/5/4,97.91,97.6,97.91,97.54,98.53675719,94.71924281,96.628,0.039507331,0.754615937
2015/5/5,97.51,97.505,97.675,97.485,98.6258841,94.7796159,96.70275,0.039774135,0.708578799
2015/5/6,97.42,97.155,97.47,97.065,98.66266163,94.86533837,96.764,0.039243141,0.602967267
2015/5/7,97.145,97.2,97.37,97.095,98.62291662,95.10908338,96.866,0.036275197,0.595052889
2015/5/8,97.3,97.45,97.615,97.29,98.58602148,95.36447852,96.97525,0.033220259,0.647367273
2015/5/11,97.41,97.32,97.5,96.5,98.47299504,95.69050496,97.08175,0.028661309,0.585624744
2015/5/12,97.31,96.99,97.46,96.88,98.37336544,95.92613456,97.14975,0.025190295,0.434722138
