dates,highp,lowp,closep
1990-01-02,1.2146,1.2146,1.2146
1990-01-03,1.2096,1.2096,1.2096
1990-01-04,1.2287,1.2287,1.2287
1990-01-05,1.2358,1.2358,1.2358
1990-01-08,1.2452,1.2452,1.2452
1990-01-09,1.2356,1.2356,1.2356
1990-01-10,1.2361,1.2361,1.2361
1990-01-11,1.2367,1.2367,1.2367
1990-01-12,1.2409,1.2409,1.2409
1990-01-15,1.2317,1.2317,1.2317
1990-01-16,1.2271,1.2271,1.2271
1990-01-17,1.2343,1.2343,1.2343
1990-01-18,1.221,1.221,1.221
1990-01-19,1.2182,1.2182,1.2182
1990-01-22,1.2118,1.2118,1.2118
1990-01-23,1.2253,1.2253,1.2253
1990-01-24,1.2373,1.2373,1.2373
1990-01-25,1.2312,1.2312,1.2312
1990-01-26,1.2334,1.2334,1.2334
1990-01-29,1.2446,1.2446,1.2446
1990-01-30,1.2433,1.2433,1.2433
1990-01-31,1.2369,1.2369,1.2369
1990-02-01,1.2395,1.2395,1.2395
1990-02-02,1.2352,1.2352,1.2352
1990-02-05,1.247,1.247,1.247
1990-02-06,1.2568,1.2568,1.2568
1990-02-07,1.2574,1.2574,1.2574
1990-02-08,1.2461,1.2461,1.2461
1990-02-09,1.2427,1.2427,1.2427
1990-02-12,1.2477,1.2477,1.2477
1990-02-13,1.2407,1.2407,1.2407
1990-02-14,1.246,1.246,1.246
1990-02-15,1.2409,1.2409,1.2409
1990-02-16,1.2382,1.2382,1.2382
1990-02-19,1.2444,1.2444,1.2444
1990-02-20,1.2449,1.2449,1.2449
1990-02-21,1.2513,1.2513,1.2513
1990-02-22,1.2497,1.2497,1.2497
1990-02-23,1.2446,1.2446,1.2446
1990-02-26,1.2364,1.2364,1.2364
1990-02-27,1.2395,1.2395,1.2395
1990-02-28,1.2341,1.2341,1.2341
1990-03-01,1.2232,1.2232,1.2232
1990-03-02,1.2207,1.2207,1.2207
1990-03-05,1.2278,1.2278,1.2278
1990-03-06,1.23,1.23,1.23
1990-03-07,1.2249,1.2249,1.2249
1990-03-08,1.2284,1.2284,1.2284
1990-03-09,1.2287,1.2287,1.2287
1990-03-12,1.2252,1.2252,1.2252
1990-03-13,1.217,1.217,1.217
1990-03-14,1.2223,1.2223,1.2223
1990-03-15,1.2246,1.2246,1.2246
1990-03-16,1.2335,1.2335,1.2335
1990-03-19,1.2439,1.2439,1.2439
1990-03-20,1.2338,1.2338,1.2338
1990-03-21,1.2253,1.2253,1.2253
1990-03-22,1.2268,1.2268,1.2268
1990-03-23,1.2255,1.2255,1.2255
1990-03-26,1.2223,1.2223,1.2223
1990-03-27,1.2241,1.2241,1.2241
1990-03-28,1.2256,1.2256,1.2256
1990-03-29,1.2327,1.2327,1.2327
1990-03-30,1.2363,1.2363,1.2363
1990-04-02,1.2312,1.2312,1.2312
1990-04-03,1.234,1.234,1.234
1990-04-04,1.2349,1.2349,1.2349
1990-04-05,1.2335,1.2335,1.2335
1990-04-06,1.2373,1.2373,1.2373
1990-04-09,1.2405,1.2405,1.2405
1990-04-10,1.2402,1.2402,1.2402
1990-04-11,1.2522,1.2522,1.2522
1990-04-12,1.2533,1.2533,1.2533
1990-04-17,1.248,1.248,1.248
1990-04-18,1.2536,1.2536,1.2536
1990-04-19,1.2514,1.2514,1.2514
1990-04-20,1.2461,1.2461,1.2461
1990-04-23,1.237,1.237,1.237
1990-04-24,1.2392,1.2392,1.2392
1990-04-25,1.248,1.248,1.248
1990-04-26,1.2519,1.2519,1.2519
1990-04-27,1.25,1.25,1.25
1990-04-30,1.2511,1.2511,1.2511
1990-05-01,1.2495,1.2495,1.2495
1990-05-02,1.2477,1.2477,1.2477
1990-05-03,1.2494,1.2494,1.2494
1990-05-04,1.2572,1.2572,1.2572
1990-05-08,1.2668,1.2668,1.2668
1990-05-09,1.2806,1.2806,1.2806
1990-05-10,1.2789,1.2789,1.2789
1990-05-11,1.284,1.284,1.284
1990-05-14,1.2754,1.2754,1.2754
1990-05-15,1.2731,1.2731,1.2731
1990-05-16,1.276,1.276,1.276
1990-05-17,1.2729,1.2729,1.2729
1990-05-18,1.271,1.271,1.271
1990-05-21,1.2645,1.2645,1.2645
1990-05-22,1.2572,1.2572,1.2572
1990-05-23,1.2566,1.2566,1.2566
1990-05-24,1.2568,1.2568,1.2568
1990-05-25,1.2505,1.2505,1.2505
1990-05-29,1.2566,1.2566,1.2566
1990-05-30,1.2527,1.2527,1.2527
1990-05-31,1.2384,1.2384,1.2384
1990-06-01,1.2432,1.2432,1.2432
1990-06-04,1.2373,1.2373,1.2373
1990-06-05,1.2409,1.2409,1.2409
1990-06-06,1.2444,1.2444,1.2444
1990-06-07,1.2416,1.2416,1.2416
1990-06-08,1.2376,1.2376,1.2376
1990-06-11,1.2419,1.2419,1.2419
1990-06-12,1.2427,1.2427,1.2427
1990-06-13,1.2427,1.2427,1.2427
1990-06-14,1.2441,1.2441,1.2441
1990-06-15,1.2372,1.2372,1.2372
1990-06-18,1.2492,1.2492,1.2492
1990-06-19,1.2569,1.2569,1.2569
1990-06-20,1.2508,1.2508,1.2508
1990-06-21,1.2538,1.2538,1.2538
1990-06-22,1.2541,1.2541,1.2541
1990-06-25,1.256,1.256,1.256
1990-06-26,1.2557,1.2557,1.2557
1990-06-27,1.2649,1.2649,1.2649
1990-06-28,1.2612,1.2612,1.2612
1990-06-29,1.2625,1.2625,1.2625
1990-07-02,1.27,1.27,1.27
1990-07-03,1.2716,1.2716,1.2716
1990-07-04,1.2793,1.2793,1.2793
1990-07-05,1.2771,1.2771,1.2771
1990-07-06,1.2741,1.2741,1.2741
1990-07-09,1.2786,1.2786,1.2786
1990-07-10,1.2821,1.2821,1.2821
1990-07-11,1.2776,1.2776,1.2776
1990-07-12,1.2689,1.2689,1.2689
1990-07-13,1.2793,1.2793,1.2793
1990-07-16,1.2736,1.2736,1.2736
1990-07-17,1.276,1.276,1.276
1990-07-18,1.2847,1.2847,1.2847
1990-07-19,1.2811,1.2811,1.2811
1990-07-20,1.2824,1.2824,1.2824
1990-07-23,1.2913,1.2913,1.2913
1990-07-24,1.2965,1.2965,1.2965
1990-07-25,1.2977,1.2977,1.2977
1990-07-26,1.2984,1.2984,1.2984
1990-07-27,1.3033,1.3033,1.3033
1990-07-30,1.3092,1.3092,1.3092
1990-07-31,1.3236,1.3236,1.3236
1990-08-01,1.3217,1.3217,1.3217
1990-08-02,1.3137,1.3137,1.3137
1990-08-03,1.3228,1.3228,1.3228
1990-08-06,1.3373,1.3373,1.3373
1990-08-07,1.3339,1.3339,1.3339
1990-08-08,1.3203,1.3203,1.3203
1990-08-09,1.3217,1.3217,1.3217
1990-08-10,1.3203,1.3203,1.3203
1990-08-13,1.3364,1.3364,1.3364
1990-08-14,1.3399,1.3399,1.3399
1990-08-15,1.3512,1.3512,1.3512
1990-08-16,1.3463,1.3463,1.3463
1990-08-17,1.3543,1.3543,1.3543
1990-08-20,1.3475,1.3475,1.3475
1990-08-21,1.3483,1.3483,1.3483
1990-08-22,1.3494,1.3494,1.3494
1990-08-23,1.3545,1.3545,1.3545
1990-08-24,1.3526,1.3526,1.3526
1990-08-28,1.3541,1.3541,1.3541
1990-08-29,1.351,1.351,1.351
1990-08-30,1.3417,1.3417,1.3417
1990-08-31,1.3312,1.3312,1.3312
1990-09-03,1.3249,1.3249,1.3249
1990-09-04,1.325,1.325,1.325
1990-09-05,1.3387,1.3387,1.3387
1990-09-06,1.3445,1.3445,1.3445
