dates,closep
01/01/1990,1.6125
02/01/1990,1.61
03/01/1990,1.6125
04/01/1990,1.6355
05/01/1990,1.637
08/01/1990,1.653
09/01/1990,1.658
10/01/1990,1.6625
11/01/1990,1.661
12/01/1990,1.661
15/01/1990,1.667
16/01/1990,1.658
17/01/1990,1.6533
18/01/1990,1.6433
19/01/1990,1.6475
22/01/1990,1.6376
23/01/1990,1.6535
24/01/1990,1.6529
25/01/1990,1.6597
26/01/1990,1.6632
29/01/1990,1.6815
30/01/1990,1.6695
31/01/1990,1.678
01/02/1990,1.685
02/02/1990,1.684
05/02/1990,1.701
06/02/1990,1.703
07/02/1990,1.696
08/02/1990,1.6945
09/02/1990,1.696
12/02/1990,1.693
13/02/1990,1.6905
14/02/1990,1.6908
15/02/1990,1.6858
16/02/1990,1.6985
19/02/1990,1.7035
20/02/1990,1.712
21/02/1990,1.7145
22/02/1990,1.714
23/02/1990,1.711
26/02/1990,1.692
27/02/1990,1.69
28/02/1990,1.6775
01/03/1990,1.6645
02/03/1990,1.648
05/03/1990,1.645
06/03/1990,1.648
07/03/1990,1.647
08/03/1990,1.6395
09/03/1990,1.617
12/03/1990,1.6125
13/03/1990,1.6087
14/03/1990,1.6095
15/03/1990,1.6255
16/03/1990,1.619
19/03/1990,1.614
20/03/1990,1.6015
21/03/1990,1.596
22/03/1990,1.604
23/03/1990,1.6015
26/03/1990,1.6195
27/03/1990,1.6258
28/03/1990,1.6283
29/03/1990,1.6333
30/03/1990,1.648
02/04/1990,1.6345
03/04/1990,1.636
04/04/1990,1.6415
05/04/1990,1.6427
06/04/1990,1.6415
09/04/1990,1.635
10/04/1990,1.6455
11/04/1990,1.643
12/04/1990,1.6427
13/04/1990,1.637
16/04/1990,1.631
17/04/1990,1.6385
18/04/1990,1.6405
19/04/1990,1.646
20/04/1990,1.6395
23/04/1990,1.636
24/04/1990,1.635
25/04/1990,1.641
26/04/1990,1.6345
27/04/1990,1.6355
30/04/1990,1.642
01/05/1990,1.645
02/05/1990,1.643
03/05/1990,1.64
04/05/1990,1.664
07/05/1990,1.668
08/05/1990,1.671
09/05/1990,1.6785
10/05/1990,1.68
11/05/1990,1.6795
14/05/1990,1.683
15/05/1990,1.677
16/05/1990,1.681
17/05/1990,1.6925
18/05/1990,1.691
21/05/1990,1.688
22/05/1990,1.6932
23/05/1990,1.6938
24/05/1990,1.6895
25/05/1990,1.69
28/05/1990,1.6945
29/05/1990,1.6945
30/05/1990,1.694
31/05/1990,1.678
01/06/1990,1.6815
04/06/1990,1.68
05/06/1990,1.6835
06/06/1990,1.6885
07/06/1990,1.689
08/06/1990,1.6833
11/06/1990,1.687
12/06/1990,1.704
13/06/1990,1.7115
14/06/1990,1.709
15/06/1990,1.71
18/06/1990,1.7155
19/06/1990,1.722
20/06/1990,1.7225
21/06/1990,1.7205
22/06/1990,1.733
25/06/1990,1.7305
26/06/1990,1.742
27/06/1990,1.7458
28/06/1990,1.739
29/06/1990,1.749
02/07/1990,1.7755
03/07/1990,1.776
04/07/1990,1.785
05/07/1990,1.7825
06/07/1990,1.787
09/07/1990,1.8085
10/07/1990,1.825
11/07/1990,1.8
12/07/1990,1.8138
13/07/1990,1.7995
16/07/1990,1.804
17/07/1990,1.8165
18/07/1990,1.8165
19/07/1990,1.8155
20/07/1990,1.819
23/07/1990,1.834
24/07/1990,1.8132
25/07/1990,1.8115
26/07/1990,1.815
27/07/1990,1.838
30/07/1990,1.8485
31/07/1990,1.8635
01/08/1990,1.8565
02/08/1990,1.8555
03/08/1990,1.859
06/08/1990,1.873
07/08/1990,1.874
08/08/1990,1.8705
09/08/1990,1.8675
10/08/1990,1.873
13/08/1990,1.883
14/08/1990,1.89
15/08/1990,1.901
16/08/1990,1.9095
17/08/1990,1.9235
20/08/1990,1.914
21/08/1990,1.915
22/08/1990,1.925
23/08/1990,1.9555
24/08/1990,1.937
27/08/1990,1.944
28/08/1990,1.946
29/08/1990,1.9463
30/08/1990,1.9175
31/08/1990,1.895
03/09/1990,1.8735
04/09/1990,1.8785
05/09/1990,1.907
06/09/1990,1.913
07/09/1990,1.8925
10/09/1990,1.859
11/09/1990,1.8575
12/09/1990,1.8595
13/09/1990,1.883
14/09/1990,1.894
17/09/1990,1.915
18/09/1990,1.9145
19/09/1990,1.885
20/09/1990,1.873
21/09/1990,1.847
24/09/1990,1.881
25/09/1990,1.869
26/09/1990,1.872
27/09/1990,1.8795
28/09/1990,1.8788
01/10/1990,1.8835
02/10/1990,1.893
03/10/1990,1.9025
04/10/1990,1.9155
05/10/1990,1.956
08/10/1990,1.975
09/10/1990,1.9638
10/10/1990,1.971
11/10/1990,1.978
12/10/1990,1.971
15/10/1990,1.9503
16/10/1990,1.967
17/10/1990,1.961
18/10/1990,1.9715
19/10/1990,1.959
22/10/1990,1.9465
23/10/1990,1.9485
24/10/1990,1.96
25/10/1990,1.955
26/10/1990,1.958
29/10/1990,1.9485
30/10/1990,1.956
31/10/1990,1.9435
01/11/1990,1.9455
02/11/1990,1.96
05/11/1990,1.9715
06/11/1990,1.966
07/11/1990,1.9698
08/11/1990,1.967
09/11/1990,1.967
12/11/1990,1.9635
13/11/1990,1.9645
14/11/1990,1.9603
15/11/1990,1.9575
16/11/1990,1.9691
19/11/1990,1.9745
20/11/1990,1.9665
21/11/1990,1.971
22/11/1990,1.97
23/11/1990,1.968
26/11/1990,1.969
27/11/1990,1.983
28/11/1990,1.9685
29/11/1990,1.944
30/11/1990,1.9435
03/12/1990,1.9165
04/12/1990,1.9305
05/12/1990,1.9265
06/12/1990,1.9405
07/12/1990,1.9518
10/12/1990,1.946
11/12/1990,1.9375
12/12/1990,1.945
13/12/1990,1.946
14/12/1990,1.937
17/12/1990,1.931
18/12/1990,1.9345
19/12/1990,1.931
20/12/1990,1.894
21/12/1990,1.888
24/12/1990,1.8745
25/12/1990,1.875
26/12/1990,1.882
27/12/1990,1.89
28/12/1990,1.9225
31/12/1990,1.93
01/01/1991,1.93
02/01/1991,1.943
03/01/1991,1.9455
04/01/1991,1.9355
07/01/1991,1.904
08/01/1991,1.896
09/01/1991,1.89
10/01/1991,1.9145
11/01/1991,1.908
14/01/1991,1.904
15/01/1991,1.9
16/01/1991,1.907
17/01/1991,1.9325
18/01/1991,1.9395
21/01/1991,1.962
22/01/1991,1.945
23/01/1991,1.961
24/01/1991,1.958
25/01/1991,1.957
28/01/1991,1.965
29/01/1991,1.959
30/01/1991,1.9638
31/01/1991,1.967
01/02/1991,1.9755
04/02/1991,1.9815
05/02/1991,1.9925
06/02/1991,2.0045
07/02/1991,1.9975
08/02/1991,1.989
11/02/1991,1.9985
12/02/1991,1.98
13/02/1991,1.986
14/02/1991,1.981
15/02/1991,1.9685
18/02/1991,1.9603
19/02/1991,1.952
20/02/1991,1.95
21/02/1991,1.9575
22/02/1991,1.9445
25/02/1991,1.925
26/02/1991,1.9198
27/02/1991,1.918
28/02/1991,1.913
01/03/1991,1.8953
04/03/1991,1.8965
05/03/1991,1.893
06/03/1991,1.896
07/03/1991,1.887
08/03/1991,1.865
11/03/1991,1.85
12/03/1991,1.858
13/03/1991,1.85
14/03/1991,1.852
15/03/1991,1.8225
18/03/1991,1.7935
19/03/1991,1.7695
20/03/1991,1.7867
21/03/1991,1.797
