dates,cft01_y0,cftf01,cfif01_y1_p0,DLAY01_p1
2015/3/20,97.09,98.17,3919,4174
2015/3/23,97.02,97.99,3994.2,4164
2015/3/24,96.92,97.94,3963.6,4161
2015/3/25,96.85,97.935,3951.8,4074
2015/3/26,96.37,97.405,3934,4060
2015/3/27,96.49,97.655,3985.6,4032
2015/3/30,96.16,97.15,4140.6,4028
2015/3/31,95.65,96.9,4035.8,4016
2015/4/1,96.095,97.305,4122.8,4035
2015/4/2,96.32,97.39,4106.2,4019
2015/4/3,96.01,97,4206,4084
2015/4/7,95.93,96.805,4239.8,4043
2015/4/8,95.16,96.32,4247.6,4027
2015/4/9,95.265,96.55,4226.2,3995
2015/4/10,95.19,96.45,4377,4006
2015/4/13,95.63,96.905,4421,4048
2015/4/14,95.57,96.75,4416.6,4085
2015/4/15,96.15,97.175,4382.4,4098
2015/4/16,96.18,97.25,4521.2,4092
2015/4/17,96.3,97.295,4604.4,4040
2015/4/20,97.25,98.075,4516.4,4000
2015/4/21,97.39,98.09,4618.8,4060
2015/4/22,97.42,98.2,4761,4160
2015/4/23,97.34,98.15,4716,4154
2015/4/24,97.03,97.845,4722,4217
2015/4/27,97.76,98.405,4804,4226
2015/4/28,97.74,98.38,4721,4220
2015/4/29,97.69,98.39,4771,4225
2015/4/30,97.955,98.46,4767.8,4320
2015/5/4,97.6,98.145,4757.6,4272
2015/5/5,97.505,98.015,4618,4272
2015/5/6,97.155,97.29,4582,4306
2015/5/7,97.2,97.245,4503.2,4293
2015/5/8,97.45,97.63,4541.4,4280
2015/5/11,97.32,97.665,4658,4362
2015/5/12,96.99,97.42,4704,4361
2015/5/13,97.225,97.445,4674.2,4367
2015/5/14,97.1,97.48,4691,4359
2015/5/15,97.185,97.83,4563,4362
2015/5/18,96.705,97.71,4536.8,4358
2015/5/19,96.56,97.89,4774,4322
2015/5/20,96.88,98.175,4775,4295
2015/5/21,96.675,97.985,4891.8,4295
2015/5/22,96.74,98.04,5022.8,4447
2015/5/25,96.52,97.785,5156.4,4416
2015/5/26,95.66,96.9,5274.2,4415
2015/5/27,95.8,96.835,5290,4388
2015/5/28,95,96.19,4943.2,4393
2015/5/29,94.92,96.115,4897,4409
2015/6/1,94.215,95.5,5249,4323
2015/6/2,94.99,96.18,5264.2,4351
2015/6/3,95.06,96.43,5182.6,4360
2015/6/4,94.91,96.25,5250.4,4327
2015/6/5,95.3,96.68,5230.4,4256
2015/6/8,95.56,96.87,5335.4,4248
2015/6/9,95.475,96.835,5250.4,4246
2015/6/10,94.98,96.22,5252.8,4262
2015/6/11,94.83,96.11,5299.6,4256
2015/6/12,94.62,96,5361.6,4162
2015/6/15,94.205,95.595,5199.8,4148
2015/6/16,95.13,96.27,5069.2,4193
2015/6/17,94.96,96.16,5113.8,4244
2015/6/18,95.25,96.515,4934,4250
2015/6/19,95.02,96.245,4598,4237
2015/6/23,94.91,96.105,4730.8,4264
2015/6/24,94.885,96.12,4858.2,4226
2015/6/25,94.8,96,4587.2,4221
2015/6/26,94.715,95.95,4212.4,4191
2015/6/29,94.535,95.725,4014.2,4173
2015/6/30,94.755,95.96,4381.4,4136
2015/7/1,94.645,95.725,4059,4174
2015/7/2,94.61,95.72,4130,4154
2015/7/3,95.22,96.295,3931.8,4131
2015/7/6,95.92,97.015,4040.6,4077
2015/7/7,96.28,97.17,3696.8,4053
2015/7/8,95.8,96.47,3463.4,3910
2015/7/9,96.15,97.075,3810,4100
2015/7/10,95.95,96.905,4166.6,4198
2015/7/13,95.72,96.945,4085.4,4182
2015/7/14,95.575,96.695,4001.6,4269
2015/7/15,95.445,96.72,3858.4,4230
2015/7/16,95.75,97.03,4008,4206
2015/7/17,95.8,97.08,4090.4,4202
2015/7/20,95.75,97.03,3950,4147
2015/7/21,95.54,96.815,3969,4147
2015/7/22,95.63,96.93,3945.2,4141
2015/7/23,95.91,97.305,4183.8,4150
2015/7/24,95.86,97.2,4012.2,4163
2015/7/27,96.04,97.3,3647.8,4127
2015/7/28,96.03,97.39,3654,4170
2015/7/29,96.11,97.4,3821.4,4234
2015/7/30,95.98,97.115,3653.8,4232
2015/7/31,95.545,96.605,3693.4,4248
2015/8/3,95.555,96.68,3638.2,4222
2015/8/4,95.71,96.83,3837.6,4255
2015/8/5,95.605,96.8,3762.6,4249
2015/8/6,95.875,97.11,3766.8,4331
2015/8/7,95.915,97.14,3854.6,4325
2015/8/10,95.675,96.95,4032.8,4361
2015/8/11,95.19,96.43,4001.2,4379
2015/8/12,95.33,96.615,3966.8,4388
2015/8/13,95.325,96.575,4015.6,4344
2015/8/14,95.64,96.65,4008.6,4359
2015/8/17,95.32,96.39,4003.8,4372
2015/8/18,95.485,96.7,3755,4313
2015/8/19,95.37,96.66,3808.2,4325
2015/8/20,95.45,96.725,3748.4,4279
2015/8/21,95.52,98.32,3469.2,4281
2015/8/24,95.785,98.56,3132.2,4197
2015/8/25,95.8,98.6,2821.6,4210
2015/8/26,96.005,98.765,2749.6,4204
2015/8/27,96.4,99.13,3030.8,4219
2015/8/28,96.255,98.95,3188.4,4156
2015/8/31,96.76,99.21,3070.2,4160
2015/9/1,96.915,99.26,2999,4181
2015/9/2,96.62,99.05,2965.8,4189
2015/9/7,96.42,98.81,3096.2,4128
2015/9/8,96.375,98.66,3338,4147
2015/9/9,96.195,98.54,3328.2,4123
2015/9/10,96.395,98.755,3296.6,4158
2015/9/11,96.255,98.615,3311.4,4170
2015/9/14,96.41,98.75,3130.6,4144
2015/9/15,96.655,98.945,3142.2,4139
2015/9/16,96.535,98.84,3304.8,4165
2015/9/17,96.365,98.655,3240.6,4150
2015/9/18,96.395,98.7,3139,4128
2015/9/21,96.415,98.745,3232.2,4099
2015/9/22,96.26,98.59,3232.8,4071
2015/9/23,96.305,98.65,3161,4064
2015/9/24,96.515,98.82,3187,4045
2015/9/25,96.665,98.9,3118,4027
2015/9/28,96.935,99,3150,4014
2015/9/29,97.23,99.16,3082.8,4073
2015/9/30,97.315,99.215,3121.4,4047
2015/10/8,97.27,99.155,3214.8,3903
2015/10/9,98.13,99.9,3310,3888
2015/10/12,98.185,99.955,3421,3956
2015/10/13,98.72,100.28,3414.8,3952
2015/10/14,98.715,100.18,3377,3984
2015/10/15,98.53,100.005,3493.8,3971
2015/10/16,98.07,99.625,3436.6,3945
2015/10/19,98.22,99.74,3381.4,3939
2015/10/20,99.165,100.3,3466.6,3930
2015/10/21,98.885,100.05,3342.8,3910
2015/10/22,99.29,100.245,3405,3969
2015/10/23,98.955,100.055,3476.8,3965
2015/10/26,99.245,100.29,3470.2,3905
2015/10/27,99.765,100.595,3478.6,3912
2015/10/28,99.39,100.215,3413,3879
2015/10/29,98.685,99.86,3440,3885
2015/10/30,98.83,99.915,3439.2,3881
2015/11/2,98.805,99.945,3403,3875
2015/11/3,98.6,99.75,3376.6,3878
2015/11/4,98.355,99.625,3591.2,3887
2015/11/5,98.665,99.89,3638.4,3876
2015/11/6,98.255,99.655,3753,3884
2015/11/9,97.29,99.085,3775.4,3861
2015/11/10,97.66,99.32,3776,3853
2015/11/11,98.175,99.65,3806,3867
2015/11/12,98.085,99.645,3756.8,3887
2015/11/13,97.94,99.51,3722.2,3868
2015/11/16,98.34,99.71,3734.4,3767
2015/11/17,98.52,99.795,3699.2,3754
2015/11/18,97.975,99.485,3698.8,3766
2015/11/19,98.21,99.675,3775,3678
2015/11/20,98.63,99.92,3644.8,3653
2015/11/23,98.5,99.98,3619.2,3692
2015/11/24,98.51,100.255,3655.6,3745
2015/11/25,98.59,100.205,3695,3718
2015/11/26,98.94,100.065,3662,3757
2015/11/27,98.695,99.975,3487.4,3727
2015/11/30,99.015,100.135,3485.8,3758
2015/12/1,98.75,99.99,3524.8,3768
2015/12/2,98.83,100.02,3692,3744
2015/12/3,98.965,100.105,3699.6,3787
2015/12/4,98.86,100.045,3638,3780
2015/12/7,98.95,100.115,3620,3799
2015/12/8,99.195,100.23,3579.2,3747
2015/12/9,99.17,100.22,3593.2,3739
2015/12/10,99.105,100.18,3567,3730
2015/12/11,99.37,100.34,3593,3730
2015/12/14,98.87,100.09,3711.8,3677
2015/12/15,99.085,100.2,3670.4,3651
2015/12/16,99.16,100.245,3675,3681
2015/12/17,99.15,100.24,3754.4,3700
2015/12/18,99.56,100.62,3704.8,3726
2015/12/21,99.805,100.78,3800.2,3749
2015/12/22,99.905,100.775,3819,3706
2015/12/23,99.98,100.81,3805,3713
2015/12/24,100.28,100.96,3775.2,3701
2015/12/25,100.26,100.86,3806.8,3668
